Titulo	ID	Genero	Usuario
La guerra de las galaxias I	120915	Ciencia Ficcion	1
La guerra de las galaxias II	121765	Ciencia Ficcion	1
La guerra de las galaxias III	121766	Ciencia Ficcion	1
La guerra de las galaxias IV	76759	Ciencia Ficcion	1
La guerra de las galaxias V	80684	Ciencia Ficcion	1
La guerra de las galaxias VI	86190	Ciencia Ficcion	1
La guerra de las galaxias VII	3748528	Ciencia Ficcion	1
Star Treck Nemesis	253754	Ciencia Ficcion	1
Star Treck II	98382	Ciencia Ficcion	1
Star Treck III	117731	Ciencia Ficcion	1
Alien I	78748	Terror	1
Alien II	90605	Terror	1
Alien III	103644	Terror	1
Paranormal Activity	1179904	Terror	1
El exorcista	70047	Terror	1
Rec I	1038988	Terror	1
Rec II	1245112	Terror	1
Viernes 13	80761	Terror	1
Saw	387564	Terror	1
Scream II	120082	Terror	1
Comando	88944	Accion	1
Delta force	90927	Accion	1
El heroe y el terror	95296	Accion	1
Rambo	83944	Accion	1
Rambo 2	89880	Accion	1
Rambo 3	95956	Accion	1
the mechanic	472399	Accion	1
Transporter	293662	Accion	1
Transporter 2	388482	Accion	1
Transporter 3	1129442	Accion	1
El rey leon	110357	Animacion	0
La sirenita	97757	Animacion	0
Toy story	114709	Animacion	0
Toy story 2	120363	Animacion	0
Cars	317219	Animacion	0
buscando a nemo	266543	Animacion	0
monstruos SA	198781	Animacion	0
los increibles	317705	Animacion	0
frozen	2294629	Animacion	0
La dama y el vagabundo	48280	Animacion	0
Operación dragon	70034	Artes marciales	1
karate Kid	87538	Artes marciales	1
El furor del dragón	68935	Artes marciales	1
tigre y dragón	190332	Artes marciales	1
kick boxing	97659	Artes marciales	1
Ninja	1182921	Artes marciales	1
Ninja assasin	1186367	Artes marciales	1
Contacto sangriento	92675	Artes marciales	1
Mortal kombat	113855	Artes marciales	1
street figther	111301	Artes marciales	1
Los padres de ella	212338	comedia romantica	0
Love actually	314331	comedia romantica	0
4 bodas y un funeral	109831	comedia romantica	0
nothing hill	125439	comedia romantica	0
prety woman	100405	comedia romantica	0
El diario de briget jones	243155	comedia romantica	0
La boda de mi mejor amigo	119738	comedia romantica	0
50 primeras citas	343660	comedia romantica	0
El lado bueno de las cosas	45658	comedia romantica	0
Hitch	386588	comedia romantica	0
cadena perpetua	111161	drama	0
american history X	120586	drama	0
En el nombre del padre	107207	drama	0
la milla verde	120689	drama	0
la celda 211	1242422	drama	0
Fuga de alcatraz	79116	drama	0
homicidio en primer grado	113870	drama	0
El corredor de la muerte	113542	drama	0
El expreso de media noche	77928	drama	0
Encerrado	97770	drama	0
Piratas del caribe	325980	Piratas	1
Piratas del caribe II	383574	Piratas	1
Piratas del caribe III	1298650	Piratas	1
La isla de las cabezas cortadas	112760	Piratas	1
La isla del tesoro	100813	Piratas	1
Piratas	91757	Piratas	1
El pirata barbanegra	44426	Piratas	1
La isla de los corsarios	44333	Piratas	1
El corsario negro	66950	Piratas	1
Hook (el capitan garfio)	102057	Piratas	1
Cometieron dos errores	61747	Oeste	1
La muerte tenia un precio	59578	Oeste	1
Por un puñado de dolares	58461	Oeste	1
Le llamaban trinidad	67355	Oeste	1
Sin perdon 	105695	Oeste	1
Rio Lobo	66301	Oeste	1
Hasta que llegó su hora	64116	Oeste	1
solo ante el peligro	44706	Oeste	1
La diligencia	31971	Oeste	1
Rio Bravo	53221	Oeste	1
como agua para chocolate	103994	cocina	0
Chef	2883512	cocina	0
fuera de carta	1020955	cocina	0
sin reservas	481141	cocina	0
El chef, la receta de la felicidad	1911553	cocina	0
Chocolat	241303	cocina	0
Estomago	1039960	cocina	0
Julie y julia	1135503	cocina	0
Bon Apetite	1259520	cocina	0
El festin de babbete	92603	cocina	0